Model,Accuracy,F1,ROC_AUC,CV_Acc,CV_Std
Decision Tree,0.72,0.719098228663446,0.8653846153846155,0.5357894736842106,0.10120602393028981
Logistic Regression,0.68,0.676883116883117,0.8205128205128206,0.6399999999999999,0.10215679654497986
XGBoost,0.76,0.7576623376623377,0.7884615384615384,0.598421052631579,0.08357656101591243
Random Forest,0.72,0.72,0.782051282051282,0.608421052631579,0.07432801450067253
KNN,0.56,0.5557487922705314,0.75,0.5673684210526316,0.11676147051673301
MLP Neural Net,0.64,0.6329064039408867,0.6987179487179488,0.6094736842105263,0.05222474339539333
SVM (RBF),0.64,0.6329064039408867,0.6346153846153846,0.5873684210526315,0.12985608910681218
